Name,Gal. Coord.,RA,DEC,Size,Statut
Su Objet 6,,10:24:34.90,-59:56:05.80,0.3 x 0.2 min d'arc,Nouvelle candidate
LDû Objet 10,,10:26:12.66,-58:21:24.20,0.5 min d'arc,Nouvelle candidate
LDû 39,,10:29:20.40,-56:22:38.90,0.7 x 0.4 min d'arc,Nouvelle candidate
St 32,,10:29:47.92,-59:58:41.65,0.1 min d'arc,Nouvelle candidate
St 15,,10:33:19.09,+10:11:24.43,1 x 0.7 min d'arc,Nouvelle candidate
Pa 169,,10:34:27.70,-59:28:48.30,0.1 min d'arc,Vraie NP
MoMi 5,,10:36:37.32,-58:18:05.95,0.2 min d'arc,Nouvelle candidate
Pre Objet 10,,10:36:50.21,-61:34:37.92,0.6 x 0.3 min d'arc,Nouvelle candidate
St 21,,10:37:20.64,-58:59:43.04,0.2 min d'arc,Vraie NP
Mo 13,,10:38:28.87,-62:19:27.00,1.8 x 1.6 min d'arc,Nouvelle candidate
St 25,,10:39:12.45,-57:31:41.51,0.4 x 0.2 min d'arc,Nouvelle candidate
Mo 27,,10:43:37.30,-52:19:02.60,5.0 x 3.0 min d'arc,Nouvelle candidate
St 42,,10:46:50.51,-54:23:32.92,1.0 x 0.7 min d'arc,Nouvelle candidate
Pre 20,,10:47:52.00,-58:56:20.60,0.1 min d'arc,NP Probable
Pre 55,,10:47:55.90,-58:14:34.00,0.6 x 0.6 min d'arc,Nouvelle candidate
St 51,,10:49:22.56,-53:09:20.87,0.7 x 0.5 min d'arc,Nouvelle candidate
Pre 19,,10:50:25.00,-59:06:28.00,0.1 min d'arc,Nouvelle candidate
LDû 44,,10:52:06.84,-53:31:26.70,0.3 x 0.2 min d'arc,Possible NP
Ra 74,,10:54:07.00,-61:08:20.00,0.1 min d'arc,Nouvelle candidate
St 52,,10:56:15.45,-61:28:26.02,0.1 min d'arc,Vraie NP
Dr Objet 4,,10:56:46.77,-59:30:08.56,2.8 min d'arc,Objet de nature inconnue
LDû Objet 9,,10:57:33.23,-66:44:48.90,1.6 x 0.9 min d'arc,Nouvelle candidate
Mo 12,,10:57:43.36,-63:40:39.27,0.2 min d'arc,Nouvelle candidate
LDû Objet 8,,10:58:04.77,-67:00:49.80,5 x 3 min d'arc,Nouvelle candidate
Su Objet 3,,11:02:43.08,-76:17:28.23,2.5 x 0.4 min d'arc,Nouvelle candidate
StDr 142,,11:07:38.24,-37:42:13.42,13 min d'arc,Nouvelle candidate
DeGaPe 27,,11:09:25.80,-61:04:09.30,0.1 min d'arc,NP Probable
Ras 1,,11:10:13.24,-60:31:57.90,0.2 x 0.1 min d'arc,Possible NP
LDû 38,,11:11:50.99,-65:21:27.90,3.8 min d'arc,Nouvelle candidate
Pre 43,,11:12:27.35,-59:58:38.00,0.7 x 0.5 min d'arc,Vraie NP
Pre 44,,11:12:42.90,-58:21:04.00,1 min d'arc,Vraie NP
Ras 3,,11:16:39.49,-45:31:15.60,0.1 min d'arc,Nouvelle candidate
DeGaPe 4,,11:16:58.00,-61:05:35.40,0.1 min d'arc,Etoile avec raies en émission
St 17,,11:19:05.09,-57:44:30.60,0.3 x 0.2 min d'arc,Nouvelle candidate
Mo 28,,11:20:28.93,-54:04:09.28,2.1 x 1.5 min d'arc,Nouvelle candidate
Ras 4,,11:22:31.16,-44:17:46.20,0.3 x 0.2 min d'arc,Nouvelle candidate
Pa 170,,11:23:35.80,-64:39:25.50,0.1 min d'arc,Nouvelle candidate
St 16,,11:24:07.44,-62:39:29.16,0.2 x 0.1 min d'arc,NP Probable
Mul-LDu-IR 14,,11:24:45.81,-61:50:02.40,min d'arc,
Ras 5,,11:24:48.51,-44:40:59.30,0.4 x 0.3 min d'arc,Nouvelle candidate
Ras 6,,11:25:59.48,-45:34:32.20,0.1 min d'arc,Nouvelle candidate
St 34,,11:26:02.53,-58:11:41.36,0.5 min d'arc,Nouvelle candidate
LDû 42,,11:27:16.09,-53:24:53.10,0.8 min d'arc,Nouvelle candidate
St Objet 14,,11:28:54.66,-63:58:27.02,0.2 min d'arc,Nouvelle candidate
Ras Objet 3,,11:31:11.95,-44:10:22.90,0.4 x 0.3 min d'arc,Nouvelle candidate
Pre 29,,11:32:16.50,-39:22:20.90,0.5 x 0.3 min d'arc,Nouvelle candidate
Su 7,,11:32:21.00,-63:03:31.70,0.1 min d'arc,Etoile avec raies en émission possible
Pre 3,,11:35:38.20,-48:21:10.00,0.8 min d'arc,Nouvelle candidate
St 53,,11:36:10.02,-57:41:19.96,0.2 min d'arc,Nouvelle candidate
LDû 11,,11:36:15.95,-10:52:44.00,1 min d'arc,Amas d'étoiles
LDû 37,,11:36:21.77,-55:22:49.60,2.3 min d'arc,Nouvelle candidate
St 54,,11:36:54.60,-56:46:53.38,1 x 0.5 min d'arc,Nouvelle candidate
Mo 9,,11:40:38.77,-64:34:35.63,0.4 x 0.3 min d'arc,Nouvelle candidate
Za Objet 1,,11:42:28.50,+13:00:13.40,1 x 0.7 min d'arc,Nouvelle candidate
Dr 8,,11:42:41.88,-60:27:28.02,0.3 min d'arc,Nouvelle candidate
Pre 33,,11:49:08.40,-70:20:31.00,0.4 x 0.2 min d'arc,Nouvelle candidate
PaMo 1,,11:49:43.70,-63:58:50.80,0.1 min d'arc,NP Probable
Ra 75,,11:50:12.40,-58:22:04.28,0.1 min d'arc,Nouvelle candidate
DeGaPe 61,,11:50:17.10,-64:12:14.10,0.1 min d'arc,Etoile avec raies en émission
Ras 7,,11:51:09.38,-44:06:11.30,0.9 x 0.7 min d'arc,Nouvelle candidate
Ras 8,,11:51:28.73,-45:33:50.10,0.3 min d'arc,Nouvelle candidate
Ras 9,,11:52:14.90,-45:12:22.60,0.2 x 0.1 min d'arc,Nouvelle candidate
Pre 54,,11:52:26.65,-59:59:56.30,0.2 x 0.1 min d'arc,NP Probable
Pre 51,,11:54:46.04,-59:31:50.50,0.1 min d'arc,Nouvelle candidate
Mul-LDu-IR 20,,11:58:05.00,-60:48:09.30,min d'arc,
Mo 30,,11:59:56.08,-68:02:17.97,1.0 x 0.7 min d'arc,Nouvelle candidate
StDr Objet 10,,12:04:00.23,-61:46:47.21,0.2 x 0.1 min d'arc,Nouvelle candidate
Mo 31,,12:08:17.51,-59:50:59.76,1.9 min d'arc,Nouvelle candidate
Pre 61,,12:08:40.48,-58:49:47.16,0.1 min d'arc,Nouvelle candidate
Pre 59,,12:09:10.24,-58:46:00.61,0.4 min d'arc,Vraie NP
St 35,,12:09:48.48,-61:32:02.43,1 min d'arc,Nouvelle candidate
Pre 41,,12:10:53.00,-64:17:25.00,0.1 min d'arc,Possible NP
StDr 22,,12:11:06.97,-56:50:46.17,0.9 min d'arc,Nouvelle candidate
Bic 2,,12:11:57.66,-69:48:33.40,0.2 min d'arc,Vraie NP
St 22,,12:12:05.11,-67:45:31.68,0.3 min d'arc,Vraie NP
PrePa 1,,12:12:31.80,-64:12:52.00,1 min d'arc,NP Probable
Pa Objet 1,,12:15:05.10,-55:56:16.90,0.1 min d'arc,Nouvelle candidate
Pa 171,,12:15:14.20,-56:43:32.20,1.2 min d'arc,Nouvelle candidate
Pa 172,,12:15:44.30,-57:58:17.60,0.1 min d'arc,Nouvelle candidate
Pre 63,,12:16:17.49,-57:22:25.66,0.4 min d'arc,Nouvelle candidate
St 39,,12:19:15.16,-63:23:23.34,0.1 min d'arc,Nouvelle candidate
Ra 76,,12:20:37.73,-67:14:49.00,0.1 min d'arc,Nouvelle candidate
Mul Objet 3,,12:22:44.76,-63:02:21.01,0.1 min d'arc,Possible NP
Ra 77,,12:26:29.00,-63:18:59.00,0.2 min d'arc,Nouvelle candidate
StDr 127,,12:26:32.07,-44:21:11.61,0.7 min d'arc,NP Probable
Sl 4,,12:30:31.73,-64:57:28.73,1.4 min d'arc,NP Probable
St 26,,12:32:17.77,-67:20:30.80,0.5 min d'arc,Nouvelle candidate
Pre 39,,12:33:04.80,-62:13:29.00,0.1 min d'arc,Nouvelle candidate
St 55,,12:33:09.61,-63:16:00.11,0.1 min d'arc,NP Probable
Jonk Objet 1,,12:33:50.04,-35:26:18.67,2.2 x 0.5 min d'arc,Nouvelle candidate
Mo Objet 16,,12:34:52.28,-61:47:01.19,0.2 min d'arc,Nouvelle candidate
St 43,,12:42:15.23,-60:46:4.18,1.1 x 0.8 min d'arc,Nouvelle candidate
Mo Objet 4,,12:43:10.06,-60:35:06.90,1.6 x 1.0 min d'arc,Nouvelle candidate
Pre 66,,12:45:57.64,-60:00:03.85,0.3 min d'arc,Nouvelle candidate
Pa 173,,12:50:37.90,-63:54:56.40,0.1 min d'arc,Vraie NP
Pre Objet 8,,12:51:02.28,-65:18:59.93,2.7 x 0.1 min d'arc,Nouvelle candidate
StDr 10,,12:58:00.36,-59:27:07.38,2 min d'arc,Nouvelle candidate
Pre 22,,12:58:50.60,-64:48:34.40,0.1 min d'arc,Vraie NP
St 20,,12:59:28.79,-66:32:48.50,0.2 min d'arc,Nouvelle candidate
StDr 151,,12:59:39.52,-38:42:34.20,54 min d'arc,Nouvelle candidate
Pre 23,,12:59:45.00,-54:40:52.00,3.2 min d'arc,Nouvelle candidate
StDr 152,,13:06:24.85,-36:56:11.58,10 min d'arc,Nouvelle candidate
St 56,,13:07:27.38,-64:43:47.91,0.5 min d'arc,Nouvelle candidate
DeGaPe 9,,13:13:40.40,-63:20:44.10,0.1 min d'arc,Etoile
Pre 65,,13:13:45.74,-63:33:44.17,0.3 min d'arc,Nouvelle candidate
St 49,,13:16:14.16,-61:04:44.50,0.1 min d'arc,Nouvelle candidate
StDr 9,,13:22:24.99,-58:52:01.03,4.4 x 3.3 min d'arc,Nouvelle candidate
Pre Objet 7,,13:24:04.50,-60:36:32.00,0.3 x 0.1 min d'arc,Possible proto NP
Pre 56,,13:25:01.44,-58:41:39.78,0.7 min d'arc,Nouvelle candidate
Mo 24,,13:27:47.46,-61:39:12.44,0.4 x 0.3 min d'arc,Nouvelle candidate
Mo 10,,13:28:44.30,-61:41:07.71,0.4 x 0.3 min d'arc,Nouvelle candidate
StDr 23,,13:29:26.42,-63:40:36.83,0.1 min d'arc,Vraie NP
Ra 78,,13:30:37.40,-64:42:40.61,0.1 min d'arc,Nouvelle candidate
StDr 105,,13:30:42.87,-62:01:57.29,0.1 min d'arc,Nouvelle candidate
Su 5,,13:31:54.29,-64:12:33.70,0.1 min d'arc,Vraie NP
Mul-LDu-IR 15,,13:34:21.57,-63:21:00.60,min d'arc,
Fe 10,,13:35:16.00,-62:36:02.00,0.1 min d'arc,Nouvelle candidate
St 57,,13:38:32.35,-64:17:43.12,0.1 min d'arc,Nouvelle candidate
DeGaPe 60,,13:39:45.40,-62:15:50.80,0.1 min d'arc,Nouvelle candidate
StDr 69,,13:40:34.42,-65:47:46.00,1.65 min d'arc,Nouvelle candidate
Mul-IR 51,,13:41:30.30,-65:12:25.90,min d'arc,
Mul-LDu-IR 6,,13:41:30.49,-65:12:26.00,min d'arc,
Pa 174,,13:42:22.20,-63:45:34.00,0.1 min d'arc,Nouvelle candidate
DeGaPe 63,,13:44:14.60,-62:47:01.70,2.3 x 1.3 min d'arc,Possible NP
Mul-IR 52,,13:51:44.10,-59:20:16.00,min d'arc,
Mo 37,,13:58:25.94,-60:57:50.30,0.1 min d'arc,Nouvelle candidate
Tan 5,,14:02:15.76,-60:07:34.06,0.1 min d'arc,NP Probable
Mul-IR 53,,14:10:43.90,-58:17:12.00,min d'arc,
Mo 38,,14:13:53.98,-62:30:26.91,0.1 min d'arc,Nouvelle candidate
Dr 16,,14:16:01.83,-62:04:18.50,0.2 min d'arc,Nouvelle candidate
Pa 175,,14:16:11.40,-63:30:20.60,0.1 min d'arc,Nouvelle candidate
Pre 60,,14:16:48.38,-58:50:37.73,0.1 min d'arc,Nouvelle candidate
Mul-IR 54,,14:17:23.80,-59:55:22.00,min d'arc,
Mo 34,,14:20:40.01,-61:56:26.55,0.1 min d'arc,Nouvelle candidate
Mul-IR 55,,14:28:19.00,-58:36:46.00,min d'arc,
StDr 70,,14:29:32.37,-63:15:57.18,1.33 min d'arc,Nouvelle candidate
Sl 1,,14:30:37.18,-58:09:40.00,0.1 min d'arc,NP Probable
St 58,,14:30:44.35,-58:15:38.51,0.1 min d'arc,Vraie NP
Su Objet 8,,14:30:47.74,-66:01:18.30,0.2 x 0.1 min d'arc,Possible NP
Tan 4,,14:31:53.00,-61:02:07.20,0.3 x 0.1 min d'arc,Objet intéressant
St 59,,14:32:22.97,-58:12:04.45,0.2 min d'arc,Vraie NP
Pa 176,,14:36:22.20,-61:21:13.10,0.1 min d'arc,Nouvelle candidate
Dr 15,,14:37:10.21,-58:34:08.37,9.4 x 7.6 min d'arc,Nouvelle candidate
St Objet 8,,14:40:52.64,-59:10:06.17,0.4 min d'arc,NP Probable
Dr Objet 3,,14:42:24.97,-61:42:10.66,0.7 x 0.1 min d'arc,Objet de nature inconnue
Ro 6,,14:48:23.77,-60:45:28.67,0.3 x 0.2 min d'arc,Nouvelle candidate
Pre 73,,14:48:37.00,-58:54:51.00,0.1 min d'arc,Nouvelle candidate
St 60,,14:48:49.50,-60:52:31.90,0.1 min d'arc,Nouvelle candidate
Ro 3,,14:50:27.55,-58:47:33.02,0.1 min d'arc,Nouvelle candidate
Mo Objet 9,,14:52:02.71,-58:8:45.26,0.9 x 0.8 min d'arc,Nouvelle candidate
Mul-IR 56,,14:52:06.55,-58:44:03.00,min d'arc,
MulPre 2,,14:52:06.55,-58:44:03.00,0.1 min d'arc,NP Probable
Pre 28,,14:55:15.30,-47:27:40.00,0.5 x 0.4 min d'arc,Matière circumstellaire
PaStDr Objet 1,,14:55:28.61,-30:41:56.66,15.5 min d'arc,Nouvelle candidate
Pa 177,,14:55:37.50,-57:28:02.20,0.1 min d'arc,Nouvelle candidate
Dr 6,,14:57:10.32,-58:03:36.55,0.1 min d'arc,Vraie NP
Mo Objet 2,,14:58:57.78,-57:53:39.28,0.3 min d'arc,Nouvelle candidate
Su 6,,14:59:12.10,-01:05:56.06,0.1 min d'arc,Nouvelle candidate
Dr 18,,14:6:51.86,-54:07:42.45,2 min d'arc,Nouvelle candidate
PaMor 2,,15:01:03.20,-81:24:45.50,0.5 min d'arc,NP Probable
Pa 178,,15:01:47.90,-57:22:59.70,0.1 min d'arc,Etoile avec raies en émission
Pre 67,,15:02:07.31,-57:25:21.12,0.1 min d'arc,NP Probable
Ra 71,,15:03:16.90,-57:07:19.70,0.1 min d'arc,Nouvelle candidate
PrePa 2,,15:06:10.60,-59:18:19.20,0.1 min d'arc,Nouvelle candidate
Pre 37,,15:06:18.60,-61:04:22.00,0.1 min d'arc,Vraie NP
Mul-IR 57,,15:07:35.40,-55:44:54.00,min d'arc,
Pa 179,,15:08:31.00,-56:33:01.00,0.1 min d'arc,Possible NP
PrePa 3,,15:08:56.40,-59:33:16.00,0.1 min d'arc,Vraie NP
Ras 2,,15:13:31.22,-56:32:42.10,2.3 min d'arc,Nouvelle candidate
DeGaPe 42,,15:13:35.20,-59:53:12.60,0.1 min d'arc,Nouvelle candidate
Dr 7,,15:13:54.00,-57:11:51.23,0.2 min d'arc,Vraie NP
DeGaPe 37,,15:15:03.78,-59:11:42.20,0.1 min d'arc,Nouvelle candidate
DeGaPe 41,,15:15:59.54,-59:57:30.60,0.1 min d'arc,Etoile avec raies en émission
DeGaPe 34,,15:16:04.30,-58:49:16.00,0.1 min d'arc,Etoile
DeGaPe 36,,15:16:04.92,-59:18:09.50,0.1 min d'arc,Nouvelle candidate
Dr 9,,15:17:45.49,-61:56:31.60,0.2 min d'arc,Vraie NP
DeGaPe 62,,15:17:59.50,-62:18:33.90,0.1 min d'arc,Candidate étoile symbiotique
Dr 17,,15:18:32.75,-52:38:22.50,1 min d'arc,Nouvelle candidate
DeGaPe 39,,15:19:45.00,-59:41:58.90,0.1 min d'arc,Etoile avec raies en émission
DeGaPe 38,,15:20:01.59,-59:40:38.80,0.1 min d'arc,Etoile avec raies en émission
Dr Objet 1,,15:20:04.55,-52:17:32.39,0.4 x 0.2 min d'arc,Nouvelle candidate
DeGaPe 40,,15:20:18.10,-59:28:12.10,0.1 min d'arc,Etoile avec raies en émission
DeGaPe 43,,15:21:08.20,-60:04:06.90,0.1 min d'arc,Etoile avec raies en émission
DeGaPe 35,,15:21:18.10,-59:00:34.20,0.1 min d'arc,Etoile symbiotique
Pa 181,,15:23:49.00,-59:40:50.30,0.1 min d'arc,Nouvelle candidate
Ro 7,,15:25:55.06,-57:12:59.45,0.1 min d'arc,Nouvelle candidate
Ro 8,,15:28:14.78,-56:03:10.04,0.1 min d'arc,Nouvelle candidate
StDrLu 2,,15:28:21.90,-58:58:27.96,0.1 min d'arc,Nouvelle candidate
StDrLu 8,,15:30:22.43,-61:01:49.68,0.18 min d'arc,Nouvelle candidate
Mo 26,,15:33:00.03,-58:49:42.40,0.2 min d'arc,Nouvelle candidate
StDrLu 3,,15:33:25.10,-59:27:05.65,1.2 min d'arc,Nouvelle candidate
Mul-IR 58,,15:33:26.50,-56:17:19.30,min d'arc,
MulPre 3,,15:33:26.69,-56:17:17.80,0.1 min d'arc,Nouvelle candidate
StDr 50,,15:33:28.80,-54:56:20.00,8.5 x 6.0 min d'arc,Nouvelle candidate
Mul-IR 59,,15:34:03.60,-54:09:43.00,min d'arc,
Mul-IR 60,,15:35:12.55,-54:19:23.80,min d'arc,
Ro 2,,15:35:25.53,-57:40:34.66,0.3 min d'arc,NP Probable
StDrLu 4,,15:35:31.44,-60:55:51.60,0.3 min d'arc,Nouvelle candidate
StDrLu 5,,15:36:04.32,-61:05:05.62,3 x 4.2 min d'arc,Nouvelle candidate
St 61,,15:36:33.44,-57:18:04.33,0.1 min d'arc,Amas d'étoiles
StDr 145,,15:37:58.37,-60:46:34.78,2.3 min d'arc,Nouvelle candidate
StDrLu 1,,15:38:04.13,-59:35:25.36,8 min d'arc,NP Probable
StDrLuLDu 1,,15:38:08.39,-61:05:09.30,0.3 min d'arc,Nouvelle candidate
Ro 9,,15:40:01.40,-55:43:24.80,0.1 min d'arc,Nouvelle candidate
LDu-IR 13,,15:41:16.09,-17:16:39.30,min d'arc,
StDrLu 6,,15:41:47.52,-60:27:57.60,1.2 min d'arc,Nouvelle candidate
St 44,,15:42:27.25,-56:28:04.20,0.1 min d'arc,Vraie NP
Mul 12,,15:44:33.25,-61:26:33.16,0.1 min d'arc,Nouvelle candidate
PaStDr 4,,15:46:03.76,-64:43:57.52,8 min d'arc,ISM ionisé
StDrLu 7,,15:46:10.00,-61:41:21.89,1.3 min d'arc,Nouvelle candidate
St 65,,15:46:56.95,-55:39:21.43,0.1 min d'arc,Nouvelle candidate
Pre 47,,15:52:06.60,-51:38:12.00,0.1 min d'arc,Nouvelle candidate
PreDr 1,,15:53:37.96,-57:02:08.30,0.2 x 0.1 min d'arc,Vraie NP
Mul-IR 61,,15:57:10.40,-57:13:19.00,min d'arc,
MulPa 1,,15:57:10.90,-57:13:20.40,0.1 min d'arc,Nouvelle candidate
Pre 45,,15:58:57.44,-51:30:23.00,0.1 min d'arc,Nouvelle candidate
PaGo 1,,16:01:25.00,+38:03:00.00,20 min d'arc,Possible NP
StDr 167,,16:01:31.96,-61:59:57.81,1.2 min d'arc,Vraie NP
StDr 174,,16:02:03.48,-61:58:01.06,7.5 x 5 min d'arc,
Tan 3,,16:07:35.89,-53:01:11.30,0.1 min d'arc,Vraie NP
StDr 41,,16:07:46.64,-45:33:11.20,4 min d'arc,Nouvelle candidate
Ra 79,,16:14:32.59,-47:14:01.90,0.1 min d'arc,Nouvelle candidate
Mo 23,,16:15:31.85,-49:01:28.14,0.1 min d'arc,Nouvelle candidate
St 28,,16:15:36.31,-52:34:03.70,0.1 min d'arc,Vraie NP
Mul-IR 62,,16:16:15.92,-49:26:48.80,0.1 min d'arc,NP Probable
Mul 15,,16:16:24.63,-50:40:41.51,0.1 min d'arc,NP Probable
StDr 106,,16:16:28.65,-49:11:33.40,2 min d'arc,Nouvelle candidate
DeGaPe 64,,16:19:03.30,-51:42:09.30,0.1 min d'arc,Vraie NP
StRas 1,,16:20:31.10,-48:35:36.28,0.3 min d'arc,Nouvelle candidate
Mul-IR 91,,16:20:59.70,-30:13:43.00,min d'arc,
Kan 5,,16:23:35.00,-50:56:56.70,0.3 min d'arc,Possible NP
Mo 32,,16:24:22.56,-56:54:04.82,0.4 min d'arc,Nouvelle candidate
St 24,,16:27:00.01,-45:49:44.31,0.2 min d'arc,Vraie NP
St 62,,16:28:20.51,-47:10:20.55,0.5 min d'arc,Nouvelle candidate
Pre 69,,16:28:23.03,-50:17:42.19,0.5 x 0.4 min d'arc,Nouvelle candidate
DeGaPe 22,,16:29:08.30,-50:13:15.80,0.1 min d'arc,NP Probable
StDr 170,,16:29:19.11,-46:48:31.80,0.1 min d'arc,Nouvelle candidate
Pa 182,,16:30:09.60,-50:52:15.20,0.1 min d'arc,Nouvelle candidate
DeGaPe 17,,16:30:21.00,-49:41:11.10,0.1 min d'arc,Etoile
DeGaPe 20,,16:33:01.10,-50:10:56.10,0.1 min d'arc,Etoile
Mul-IR 63,,16:33:12.70,-45:13:44.00,min d'arc,
Mul-IR 64,,16:33:21.50,-46:10:41.00,min d'arc,
St Objet 5,,16:33:26.18,-48:31:59.69,0.4 min d'arc,Possible NP
DeGaPe 16,,16:34:08.40,-49:16:26.00,0.1 min d'arc,Etoile
DeGaPe 19,,16:34:51.00,-49:46:29.10,0.1 min d'arc,Etoile
DeGaPe 21,,16:35:08.00,-48:46:22.70,0.2 x 0.1 min d'arc,Objet intéressant
StRas 3,,16:36:23.41,-53:03:10.52,0.4 min d'arc,Nouvelle candidate
Mul-IR 92,,16:38:00.79,-35:42:09.10,min d'arc,
DeGaPe 23,,16:38:10.50,-48:50:54.90,0.1 min d'arc,Nouvelle candidate
DeGaPe 18,,16:38:25.70,-49:32:02.50,0.1 min d'arc,Nouvelle candidate
St 63,,16:39:21.47,-44:42:05.71,0.1 min d'arc,Nouvelle candidate
DeGaPe 14,,16:40:22.20,-49:32:56.40,0.1 min d'arc,Nouvelle candidate
DeGaPe 13,,16:40:34.60,-49:19:22.90,0.1 min d'arc,Etoile
Ra 80,,16:42:20.23,-45:22:40.10,0.1 min d'arc,Nouvelle candidate
Pre 40,,16:42:48.70,-45:54:05.00,0.1 min d'arc,Nouvelle candidate
StDr 71,,16:43:23.33,-42:39:22.56,0.1 min d'arc,Nouvelle candidate
Pre Objet 9,,16:43:24.63,-40:04:31.63,2 x 1.7 min d'arc,Nouvelle candidate
DeGaPe 45,,16:43:25.80,-40:26:53.60,0.1 min d'arc,Nouvelle candidate
DeGaPe 47,,16:44:12.10,-41:12:08.50,0.1 min d'arc,Nouvelle candidate
Pre 70,,16:44:23.07,-60:05:38.89,4 x 3 min d'arc,Nouvelle candidate
DeGaPe 8,,16:45:31.30,-47:57:44.70,0.1 min d'arc,Nouvelle candidate
DeGaPe 12,,16:45:38.30,-48:45:09.00,0.1 min d'arc,Nouvelle candidate
DeGaPe 7,,16:45:45.10,-47:59:22.90,0.1 min d'arc,Nouvelle candidate
Pa 183,,16:46:01.00,-48:10:02.30,0.1 min d'arc,Nouvelle candidate
DeGaPe 5,,16:46:11.73,-47:37:04.30,0.1 min d'arc,Etoile avec raies en émission
DeGaPe 44,,16:46:53.20,-40:17:57.00,0.1 min d'arc,Nouvelle candidate
DeGaPe 46,,16:47:05.60,-40:58:59.40,0.1 min d'arc,Nouvelle candidate
St 64,,16:47:15.49,-50:14:58.90,0.1 min d'arc,Vraie NP
LDû 33,,16:48:06.95,-48:01:26.40,0.1 min d'arc,Nouvelle candidate
DeGaPe 11,,16:49:01.70,-49:07:01.00,0.1 min d'arc,Nouvelle candidate
Pre 26,,16:49:08.50,-52:22:48.00,1.6 x 1.4 min d'arc,Nouvelle candidate
Sl 2,,16:50:01.50,-49:30:51.56,0.5 x 0.4 min d'arc,Nouvelle candidate
DeGaPe 10,,16:50:27.70,-48:50:37.00,0.1 min d'arc,Nouvelle candidate
DeGaPe 6,,16:50:32.40,-47:42:29.30,0.1 min d'arc,Nouvelle candidate
DeGaPe 15,,16:50:46.00,-49:58:22.50,0.1 min d'arc,Etoile
St 23,,16:51:41.96,-42:3:39.12,0.4 x 0.3 min d'arc,Nouvelle candidate
DeGaPeKn 2,,16:52:59.60,-40:30:46.30,0.1 min d'arc,Objet de nature inconnue
DeGaPeKn 1,,16:53:31.33,-40:28:43.70,0.1 min d'arc,Vraie NP
Mo 33,,16:54:17.69,-52:09:36.44,2.0 x 1.3 min d'arc,Nouvelle candidate
Pre 11,,16:56:15.10,-40:36:43.10,0.1 min d'arc,Nouvelle candidate
DeGaPe Objet 4,,16:56:33.60,-44:09:47.00,0.9 x 0.4 min d'arc,Nouvelle candidate
Pre 38,,16:56:54.60,-41:28:24.00,0.1 min d'arc,Nouvelle candidate
Mo 39,,16:57:11.10,-26:32:58.69,0.1 min d'arc,Nouvelle candidate
Mul-IR 50,,16:59:10.50,-34:22:05.00,min d'arc,
PreRo 2,,16:59:29.00,-39:15:00.90,0.1 min d'arc,Nouvelle candidate
Pre 57,,16:59:36.91,-35:30:21.14,0.2 min d'arc,Vraie NP
Mul-IR 1,,16:59:53.48,-44:27:42.80,min d'arc,
StRo 1,,16:59:54.59,-41:20:42.4,0.1 min d'arc,Nouvelle candidate
Dr Objet 5,,17:00:19.93,-41:50:41.70,0.5 x 0.4 min d'arc,Nouvelle candidate
St 19,,17:00:48.08,-37:52:46.16,0.2 min d'arc,Vraie NP
Pa 184,,17:01:02.00,-49:09:09.70,0.1 min d'arc,Nouvelle candidate
Pre 42,,17:01:03.72,-38:30:39.70,0.1 min d'arc,Vraie NP
St 40,,17:01:10.21,-41:07:03.70,0.1 min d'arc,Nouvelle candidate
Pre 46,,17:01:18.25,-36:52:22.00,0.3 min d'arc,Vraie NP
St 27,,17:01:44.30,-35:56:36.57,0.1 min d'arc,Nouvelle candidate
Mul-IR 2,,17:02:14.80,-38:30:32.00,min d'arc,
StDr 107,,17:02:40.86,-20:43:04.20,0.1 min d'arc,Nouvelle candidate
Pre 49,,17:03:58.20,-34:11:56.40,0.2 min d'arc,Nouvelle candidate
Pa 185,,17:05:29.65,-47:01:47.80,0.1 min d'arc,Nouvelle candidate
Mul-IR 39,,17:06:01.50,-36:02:49.00,min d'arc,
StDr Objet 23,,17:06:13.32,-37:50:46.00,0.1 min d'arc,Nouvelle candidate
Pa 186,,17:06:37.20,-48:05:26.50,0.1 min d'arc,Nouvelle candidate
Pa 187,,17:06:59.84,-47:59:05.40,0.1 min d'arc,Nouvelle candidate
Sl 3,,17:07:17.28,-42:47:23.94,0.83 min d'arc,NP Probable
Ra 44,,17:07:21.15,-27:21:41.50,0.1 min d'arc,Nouvelle candidate
Mul-IR 40,,17:07:52.70,-37:59:03.00,min d'arc,
StDr 147,,17:08:09.47,-25:02:41.88,50.5 min d'arc,Nouvelle candidate
Pa 205,,17:09:23.78,-46:16:40.90,0.1 min d'arc,Nouvelle candidate
Dr 4,,17:10:32.75,-39:47:36.84,0.7 x 0.6 min d'arc,Objet de nature inconnue
Mo Objet 8,,17:10:56.81,-43:40:06.03,0.2 min d'arc,Nouvelle candidate
StDr Objet 24,,17:11:29.02,-34:35:05.30,0.1 min d'arc,Nouvelle candidate
Mo 16,,17:11:42.02,-40:35:27.60,0.3 min d'arc,Nouvelle candidate
DeGaPe 69,,17:13:18.10,-34:31:42.00,0.1 min d'arc,Nouvelle candidate
DeGaPe 67,,17:13:36.40,-33:47:49.50,0.1 min d'arc,Nouvelle candidate
Mul-IR 88,,17:15:04.00,-36:56:30.00,min d'arc,
Pre 27,,17:15:37.80,-36:14:36.70,0.1 min d'arc,Nouvelle candidate
